5,Atlanta,Georgia,ATL,0.96,69
2,Anderson,South Carolina,AND,0,36
2,Savannah,Georgia,SAV,0.08,44
1,West Palm Beach,Florida,PBI,0.99,68
8,Atlanta,Georgia,ATL,0.53,84
12,Daytona Beach,Florida,DAB,0.01,69
11,Jacksonville,Florida,JAX,0.02,70
10,Louisville,Kentucky,SDF,0,66
6,Alma,Georgia,AMG,1.36,82
12,Clarksville,Tennessee,CKV,1.35,35
10,Huntsville,Alabama,HSV,0.77,68
4,West Palm Beach,Florida,PBI,0.56,75
11,Knoxville,Tennessee,TYS,0.11,46
10,Pensacola,Florida,PNS,0,73
6,Charlotte,North Carolina,CLT,0.99,79
9,Charlotte,North Carolina,CLT,0.01,77
4,Daytona Beach,Florida,DAB,0.83,71
12,Greer,South Carolina,GSP,0,48
11,Nashville,Tennessee,BNA,0,66
7,Key West,Florida,EYW,2.16,83
2,Tallahassee,Florida,TLH,0,50
6,Mobile,Alabama,MOB,0.51,82
9,Raleigh/Durham,North Carolina,RDU,2.04,74
3,Louisville,Kentucky,SDF,0.47,39
8,Hickory,North Carolina,HKY,1.36,80
1,Lexington,Kentucky,LEX,0.05,40
2,West Palm Beach,Florida,PBI,0,59
3,Anderson,South Carolina,AND,0.65,48
12,Jackson,Kentucky,JKL,0.13,39
8,Orlando,Florida,MCO,2.72,82
12,Augusta,Georgia,AGS,0.38,52
10,Crossville,Tennessee,CSV,0,62
11,Greer,South Carolina,GSP,0.2,54
4,Miami,Florida,MIA,0.91,76
6,Chattanooga,Tennessee,CHA,0.12,83
11,Daytona Beach,Florida,DAB,0.1,74
10,Bristol/Jhnsn Cty/Kngsprt,Tennessee,TRI,0.25,63
8,Raleigh/Durham,North Carolina,RDU,0.18,80
10,Raleigh/Durham,North Carolina,RDU,0.14,61
3,Orlando,Florida,MCO,0.07,66
6,Lexington,Kentucky,LEX,2.37,74
12,Knoxville,Tennessee,TYS,2.28,41
7,Clarksville,Tennessee,CKV,4.98,81
7,Jackson,Kentucky,JKL,0,72
11,Augusta,Georgia,AGS,0,55
7,Covington,Kentucky,CVG,0.28,80
9,Miami,Florida,MIA,2.73,83
10,Hickory,North Carolina,HKY,1.01,66
1,Orlando,Florida,MCO,2.67,60
11,Montgomery,Alabama,MGM,0,57
1,Gainesville,Florida,GNV,0.06,63
5,Bristol/Jhnsn Cty/Kngsprt,Tennessee,TRI,2.04,63
12,Columbia,South Carolina,CAE,0.32,49
7,Anderson,South Carolina,AND,0,83
7,Atlanta,Georgia,ATL,0.44,84
5,Knoxville,Tennessee,TYS,0.19,72
3,Alma,Georgia,AMG,0.08,66
7,Alma,Georgia,AMG,0.79,83
9,Miami,Florida,MIA,1.67,83
9,Greensboro,North Carolina,GSO,0.4,75
1,Vero Beach,Florida,VRB,0.26,68
9,Alma,Georgia,AMG,0,78
7,Mobile,Alabama,MOB,0.95,84
11,Daytona Beach,Florida,DAB,0,64
7,Memphis,Tennessee,MEM,2.41,85
8,Jackson,Kentucky,JKL,0.57,80
4,Key West,Florida,EYW,1.1,76
1,Bristol/Jhnsn Cty/Kngsprt,Tennessee,TRI,1.16,42
2,Louisville,Kentucky,SDF,1.58,44
1,Greensboro,North Carolina,GSO,0.18,46
3,Orlando,Florida,MCO,4.58,68
12,Pensacola,Florida,PNS,4.47,55
7,Greer,South Carolina,GSP,0,83
3,Crossville,Tennessee,CSV,0.19,54
11,Tallahassee,Florida,TLH,0,72
2,Columbia,South Carolina,CAE,1.68,53
7,Atlanta,Georgia,ATL,1.58,83
2,Huntsville,Alabama,HSV,1.54,50
4,West Palm Beach,Florida,PBI,0,79
3,Augusta,Georgia,AGS,0.05,65
8,Covington,Kentucky,CVG,0.84,77
4,Orlando,Florida,MCO,0.01,72
9,Bristol/Jhnsn Cty/Kngsprt,Tennessee,TRI,0.07,73
9,Clarksville,Tennessee,CKV,0.72,77
3,Asheville,North Carolina,AVL,0.21,56
9,Savannah,Georgia,SAV,0.32,79
2,Gainesville,Florida,GNV,0,50
10,Gainesville,Florida,GNV,1.49,77
9,Charleston,South Carolina,CHS,2.22,79
7,Orlando,Florida,MCO,0.01,87
5,Asheville,North Carolina,AVL,0.41,60
6,Miami,Florida,MIA,0.34,83
1,West Palm Beach,Florida,PBI,0.03,70
6,Greensboro,North Carolina,GSO,0,75
7,Hickory,North Carolina,HKY,3.56,78
12,Paducah,Kentucky,PAH,0.68,38
2,Asheville,North Carolina,AVL,1.11,42
2,Covington,Kentucky,CVG,1.09,42
9,Pensacola,Florida,PNS,0,84
8,Daytona Beach,Florida,DAB,0.92,83
5,Gainesville,Florida,GNV,0,74
7,West Palm Beach,Florida,PBI,0.37,87
5,Orlando,Florida,MCO,2.09,80
11,Orlando,Florida,MCO,0,69
1,Columbia,South Carolina,CAE,0.27,45
7,Pensacola,Florida,PNS,0.56,84
4,Jacksonville,Florida,JAX,0.7,67
10,Paducah,Kentucky,PAH,0.21,66
1,Memphis,Tennessee,MEM,0.04,49
2,Hickory,North Carolina,HKY,0,30
2,Vero Beach,Florida,VRB,1.66,66
12,Bristol/Jhnsn Cty/Kngsprt,Tennessee,TRI,0.89,42
8,Charlotte,North Carolina,CLT,0.22,83
9,Louisville,Kentucky,SDF,0,74
8,Jacksonville,Florida,JAX,1.05,83
1,Birmingham,Alabama,BHM,0,39
5,Clarksville,Tennessee,CKV,1.61,60
9,Chattanooga,Tennessee,CHA,0,79
3,Cape Hatteras,North Carolina,HSE,1.14,60
1,Bristol/Jhnsn Cty/Kngsprt,Tennessee,TRI,0,34
2,Alma,Georgia,AMG,0.73,56
6,Anderson,South Carolina,AND,0,82
1,Huntsville,Alabama,HSV,0,39
12,Hickory,North Carolina,HKY,0.95,46
8,Anderson,South Carolina,AND,0.45,83
6,Birmingham,Alabama,BHM,0.44,80
12,Pensacola,Florida,PNS,1.62,61
3,Birmingham,Alabama,BHM,0.03,61
1,Fort Lauderdale,Florida,FLL,2.02,61
7,Huntsville,Alabama,HSV,2.16,83
11,Daytona Beach,Florida,DAB,0,62
8,Tallahassee,Florida,TLH,1.33,85
5,Tallahassee,Florida,TLH,0,78
2,Lexington,Kentucky,LEX,1.61,43
10,Montgomery,Alabama,MGM,0,71
9,Savannah,Georgia,SAV,3.28,78
2,Chattanooga,Tennessee,CHA,0.02,35
9,Asheville,North Carolina,AVL,0.01,71
6,Chattanooga,Tennessee,CHA,0.93,78
7,Huntsville,Alabama,HSV,0.06,82
8,Crossville,Tennessee,CSV,0.3,77
12,Pensacola,Florida,PNS,2.87,63
10,Orlando,Florida,MCO,0,74
10,Daytona Beach,Florida,DAB,0.26,77
3,Miami,Florida,MIA,0.04,75
12,Daytona Beach,Florida,DAB,0.01,65
5,Louisville,Kentucky,SDF,0.33,74
1,Greer,South Carolina,GSP,0.04,45
1,Birmingham,Alabama,BHM,0.87,49
8,Greensboro,North Carolina,GSO,0.44,80
11,Birmingham,Alabama,BHM,0,68
4,Nashville,Tennessee,BNA,0.22,67
2,Greensboro,North Carolina,GSO,1.67,43
4,Hickory,North Carolina,HKY,0.12,55
9,Athens,Georgia,AHN,0,80
4,Atlanta,Georgia,ATL,0.31,67
4,Pensacola,Florida,PNS,0,67
6,Asheville,North Carolina,AVL,0.05,73
1,Raleigh/Durham,North Carolina,RDU,0.96,30
3,Savannah,Georgia,SAV,4.11,63
1,Gainesville,Florida,GNV,1.37,50
7,Miami,Florida,MIA,0.01,86
5,Wilmington,North Carolina,ILM,1.16,66
9,Columbia,South Carolina,CAE,1.76,80
9,Louisville,Kentucky,SDF,0,79
8,Memphis,Tennessee,MEM,0,87
6,Augusta,Georgia,AGS,1.66,80
2,Wilmington,North Carolina,ILM,0.67,54
1,Raleigh/Durham,North Carolina,RDU,0.4,48
1,Orlando,Florida,MCO,0.07,52
4,Key West,Florida,EYW,0.05,77
11,Raleigh/Durham,North Carolina,RDU,0.27,52
7,Crossville,Tennessee,CSV,1.07,73
10,Lexington,Kentucky,LEX,0.69,64
9,Tampa,Florida,TPA,0.46,85
1,Fort Lauderdale,Florida,FLL,0.94,70
10,Asheville,North Carolina,AVL,0,60
3,Fort Lauderdale,Florida,FLL,0.02,75
1,Miami,Florida,MIA,0.84,70
3,Raleigh/Durham,North Carolina,RDU,1.99,60
11,Jacksonville,Florida,JAX,0,58
9,Chattanooga,Tennessee,CHA,0.25,81
5,Hickory,North Carolina,HKY,0.84,65
3,Alma,Georgia,AMG,0.25,69
5,Cape Hatteras,North Carolina,HSE,1.62,65
11,Chattanooga,Tennessee,CHA,0.01,53
11,Athens,Georgia,AHN,0,54
7,Memphis,Tennessee,MEM,0.36,84
1,Tallahassee,Florida,TLH,0.46,53
7,Nashville,Tennessee,BNA,0,85
4,Raleigh/Durham,North Carolina,RDU,0.85,55
12,Lexington,Kentucky,LEX,1.36,34
11,Huntsville,Alabama,HSV,0.2,55
10,Clarksville,Tennessee,CKV,0.05,64
2,Tampa,Florida,TPA,0.97,62
4,Savannah,Georgia,SAV,0.09,63
11,Wilmington,North Carolina,ILM,0.19,61
8,Savannah,Georgia,SAV,0.34,85
